Layer,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,NormalX,NormalY,NormalZ
INSTANTIATE::TREE,480.129582532612,22.7222909551633,-481.323050921514,1,0,0,0,1,0
INSTANTIATE::TREE,509.590612732977,22.7314083584529,-484.798790439534,1,0,0,0,1,0
INSTANTIATE::TREE,249.701701496647,50.4454937908985,-572.59018640078,1,0,0,0,1,0
INSTANTIATE::TREE,265.789410122914,52.0950967422129,-581.304361906675,1,0,0,0,1,0
INSTANTIATE::TREE,249.8357657352,55.1579217592138,-592.833886422166,1,0,0,0,1,0
INSTANTIATE::TREE,260.829033296482,57.6416418952461,-607.580952662911,1,0,0,0,1,0
INSTANTIATE::TREE,266.258634957847,59.4302656480082,-619.526076317914,1,0,0,0,1,0
INSTANTIATE::TREE,247.363621176296,59.4838467335279,-617.24564362014,1,0,0,0,1,0
INSTANTIATE::TREE,223.584984069024,59.483846733528,-613.99350319872,1,0,0,0,1,0
INSTANTIATE::TREE,199.806346961751,59.483846733528,-610.741362777298,1,0,0,0,1,0
INSTANTIATE::TREE,176.027709854479,59.4838467335279,-607.489222355878,1,0,0,0,1,0
INSTANTIATE::TREE,518.125356835439,38.0607732951763,-361.780964576014,1,0,0,0,1,0
INSTANTIATE::TREE,492.201053179181,38.7200528668467,-358.235367095496,1,0,0,0,1,0
INSTANTIATE::TREE,518.603262577253,38.4525570691121,-365.883563734262,1,0,0,0,1,0
INSTANTIATE::TREE,492.989100232141,39.3815928860808,-362.380383449052,1,0,0,0,1,0
INSTANTIATE::TREE,590.94438507353,23.8902532872384,-371.740227763107,1,0,0,0,1,0
INSTANTIATE::TREE,565.020081417272,29.1819008476666,-368.194630282589,1,0,0,0,1,0
INSTANTIATE::TREE,539.095777761015,34.5968861132627,-364.64903280207,1,0,0,0,1,0
INSTANTIATE::TREE,590.491866881908,23.8956662390356,-375.715575335432,1,0,0,0,1,0
INSTANTIATE::TREE,564.877704536796,29.2138057968217,-372.212395050221,1,0,0,0,1,0
INSTANTIATE::TREE,539.263542191684,34.7659194484305,-368.709214765011,1,0,0,0,1,0
INSTANTIATE::TREE,212.629064749347,17.041607174834,-311.339851257415,1,0,0,0,1,0
INSTANTIATE::TREE,213.245856547081,17.3522337726947,-307.387656016518,1,0,0,0,1,0
INSTANTIATE::TREE,187.912168522477,16.4285446056145,-307.588179508695,1,0,0,0,1,0
INSTANTIATE::TREE,188.528960320212,16.8361993452909,-303.635984267797,1,0,0,0,1,0
INSTANTIATE::TREE,159.131956324432,16.3237752648813,-303.219754442921,1,0,0,0,1,0
INSTANTIATE::TREE,159.765272440105,16.7742571875414,-299.270067357425,1,0,0,0,1,0
INSTANTIATE::TREE,103.393289331857,58.5608898666757,-591.581822980314,1,0,0,0,1,0
INSTANTIATE::TREE,128.276629031155,58.4752527592257,-594.45271755852,1,0,0,0,1,0
INSTANTIATE::TREE,153.168948045261,58.1712601730348,-595.995881083102,1,0,0,0,1,0
INSTANTIATE::TREE,193.126015297555,51.0977167916926,-567.368134628683,1,0,0,0,1,0
INSTANTIATE::TREE,211.831462642224,45.7486673764385,-550.867211471061,1,0,0,0,1,0
